epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1511.46,0.99604,0.76682,1.34575,0.83061,0.75864,0.81045,0.48536,1.4828,0.99977,1.9566,0.000432252,0.000432252,0.000432252
81,1529.01,0.98412,0.76329,1.33807,0.82135,0.72609,0.80103,0.48353,1.46261,0.99253,1.93919,0.000428686,0.000428686,0.000428686
82,1548.52,0.98882,0.75578,1.33766,0.84052,0.73027,0.79845,0.46965,1.52922,1.02803,1.9891,0.000425119,0.000425119,0.000425119
83,1566.09,0.984,0.74459,1.33804,0.84821,0.73104,0.81113,0.47429,1.52027,0.98937,1.99032,0.000421553,0.000421553,0.000421553
84,1585.69,0.98178,0.74339,1.33527,0.80559,0.74083,0.79815,0.47338,1.50875,0.99055,1.99111,0.000417986,0.000417986,0.000417986
85,1604.09,0.97599,0.74056,1.32746,0.82515,0.70921,0.77064,0.45808,1.52948,1.06618,2.00187,0.00041442,0.00041442,0.00041442
86,1621.68,0.97702,0.73729,1.32656,0.83144,0.71242,0.79416,0.47421,1.4851,1.03143,1.96369,0.000410853,0.000410853,0.000410853
87,1640.67,0.96501,0.72458,1.32139,0.82549,0.74204,0.80316,0.47819,1.49713,0.99658,2.00317,0.000407287,0.000407287,0.000407287
88,1658.16,0.95437,0.71598,1.3089,0.82061,0.73831,0.79366,0.47933,1.48744,1.00074,1.9682,0.000403721,0.000403721,0.000403721
89,1677.6,0.96176,0.72215,1.32326,0.81443,0.71529,0.78726,0.46777,1.52255,1.05287,2.00834,0.000400154,0.000400154,0.000400154
90,1695.09,0.95697,0.71379,1.31094,0.81936,0.73467,0.79517,0.46531,1.52563,1.012,1.99993,0.000396588,0.000396588,0.000396588
91,1714.27,0.9473,0.71678,1.30677,0.84055,0.73021,0.80376,0.47301,1.52109,1.00725,1.97942,0.000393021,0.000393021,0.000393021
